T,R,Ncfg,mean_Re,err_Re_naiveSEM,mean_Im,err_Im_naiveSEM
1,0,100,1.7708381208953242e-07,1.2163373251631764e-10,0.0000000000000000e+00,0.0000000000000000e+00
1,1,100,1.0268488085891262e-07,9.1646203119369142e-11,-1.8227484407555616e-11,4.6926008395783701e-11
1,2,100,7.5249352907655883e-08,1.1151113004301443e-10,-2.8226568552098047e-11,7.9422261714534267e-11
1,3,100,5.8860789932569354e-08,1.4071289251646494e-10,-1.8740915065949672e-11,1.0190045915901916e-10
2,0,100,1.7550361221051826e-07,1.3442981513320456e-10,0.0000000000000000e+00,0.0000000000000000e+00
2,1,100,6.2510708966563652e-08,7.6197572948429910e-11,-6.4435579980625395e-11,3.6897755190861244e-11
2,2,100,3.6458657818253066e-08,7.4220044505610495e-11,-4.6485846596644399e-11,4.5213839669104204e-11
2,3,100,2.4719029148722945e-08,8.7111426119635422e-11,-9.0213850932349600e-11,5.4637160205874805e-11
3,0,100,1.7469775281534152e-07,1.2924290534955844e-10,0.0000000000000000e+00,0.0000000000000000e+00
3,1,100,3.8398523433440446e-08,5.2194660237501672e-11,-5.3660426203010342e-11,3.2587512196251456e-11
3,2,100,1.7886496003197107e-08,5.5512845121285110e-11,-5.1206086392275832e-11,3.7664229708292393e-11
3,3,100,1.0571344778794110e-08,5.8869777622931308e-11,-1.7500398409991742e-11,4.3996782328684036e-11
4,0,100,1.7450594662325188e-07,1.0722975470301459e-10,0.0000000000000000e+00,0.0000000000000000e+00
4,1,100,2.3760547499028923e-08,4.5545252926783381e-11,-6.6059822597544847e-11,3.7528747952652317e-11
4,2,100,8.9104980772178726e-09,4.8721090671730987e-11,-7.3699384943060120e-11,4.2100474867506964e-11
4,3,100,4.6222575401816839e-09,4.5139280597956641e-11,-1.6882294397317812e-11,3.7760613144159388e-11
